ParticipantID;G1;G2;G3;G4;G5
P01;"Mbappé;Kane;Oyarzabal";"Embolo;Olmo;Gakpo;Cunha";"Pedri;Enzo Fernandez;Balogun;Declan Rice";"Baena;Anderson;Bruno Guimaraes";"Reece James;Cubarsi"
P02;"Mbappe;Kane;Vinicius Junior";"Luis Suárez;Gakpo;Bellingham;Bruno Fernandes";"James Rodríguez;Balogun;Jonathan David;De Bruyne";"Xhaka;Bruno Guimaraes;Saibari";"Van Dijk;Pacho"
P03;"Dembele;Mbappe;Olise";"Lautaro;Gakpo;Doue;Cunha";"De Bruyne;Pedri; Martin Ødegaard;Merino";"Rodri;Bruno Guimaraes;Casemiro";"Llorente;Upamecano"
P04;"Mbappe;Kane;Messi";"Embolo;Bellingham;Gakpo;Cunha";"Raúl Jiménez;Jonathan David;De Bruyne;Declan Rice";"Xhaka;Gouiri;Bajraktarevic";" Gabriel Magalhães;Achraf"
P05;"Mbappe;Kane;Messi";"Cunha;Bruno Fernandes;Gakpo;Ferrán";"Pedri;Jonathan David;De Bruyne;Declan Rice";"Diomande;Rodri;Gonçalo Guedes";"Achraf;Nuno Mendes"
P06;"Kane;Messi;Mbappe";"Bruno Fernandes;Cunha;Brobbey;Gakpo";"Fabian;Joao Neves;Barcola;Balogun";"Casemiro;Bruno Guimaraes;Rodri";"Dumfries;Achraf"
P07;"Oyarzabal;Havertz;Mbappe";"Trossard;Lautaro;Gakpo;Gyokeres";"Dzeko;Fabián;Vitinha;Undav";"Diego Gómez;Baturina;De Paul";" Gabriel Magalhães;Alderete"
P08;"Mbappe;Kane;Messi";"Ferrán;Bellingham;Lautaro;Gakpo";"Undav;Santiago Giménez;Declan Rice;Jonathan David";"Rodri;Akram Afif;Modric";"Nuno Mendes;Achraf"
P09;"Oyarzabal;Messi;Kane";"Embolo;Bellingham;Mahrez;Ferrán";"Merino;Vitinha;Nicolas Pepe;Lukebakio";"Bruno Guimaraes;Pape Gueye;Onana";"Cucurella;Achraf"
P10;"Kane;Mbappe;Messi";"Lautaro;Gakpo;Cunha;Cherki";"Enzo Fernandez;Jonathan David;Arda Güler;Takefusa Kubo";"Ounahi;Guimaraes;Tabakovic";"Van Dijk;Nuno Mendes"
P11;"Mbappe;Messi;Cristiano Ronaldo";"Gordon;Cunha;Brahim Diaz;Bellingham";"Jonathan David;James Rodriguez;Pedri; Martin Ødegaard";"Xhaka;Rodri;Modric";" Gabriel Magalhães;Cancelo"
P12;"Mbappe;Kane;Oyarzabal";"Ferrán;Bellingham;Bruno Fernandes;Doue";"Schick;Arda Güler;Kenan Yıldız;De Bruyne";"Sulc;McTominay;Tabakovic";"Tah;Schlotterbeck"
P13;"Mbappe;Oyarzabal;Vinicius Junior";"Brahim Diaz;Bellingham;Ante Budimir;Salah";"Undav;Mac Allister;Pedri; Martin Ødegaard";"Yeremi Pino;Kovacic;Saibari";"Hincapié;Van Dijk"
P14;"Mbappe;Haaland;Lamine Yamal";"Isak;Lautaro;Salah;Bellingham";"Takefusa Kubo; Martin Ødegaard;Pedri;Santiago Giménez";"McTominay;Akram Afif;Al Taamari";"Dumfries;Achraf"
P15;"Mbappe;Oyarzabal;Julián Álvarez";"Pedro Neto;Rashford;Bellingham;Eze";"Enzo Fernández;James Rodríguez;Vitinha;Declan Rice";"Guimaraes;Modric;Rodri";" Gabriel Magalhães;Marquinhos"
P16;"Mbappé;Kane;Messi";"Cunha;Brahim Diaz;Olmo;Bruno Fernandes";"Enzo Fernandez;De Bruyne;Bernardo Silva;Nusa";"Ounahi;Tchouameni;Anderson";"Molina;Nuno Mendes"
P17;"Mbappe;Dembele;Olise";"Alexander Sørloth;Bellingham;Doue;Cherki";"Merino;Barcola;Santiago Giménez;Enner Valencia";"McTominay;Tchouameni;Borja Iglesias";"Marquinhos;Theo Hernandez"
P18;"Mbappé;Harry Kane;Haaland";"Sadio Mané;Gakpo;Ferrán;Bellingham";"Raul Jimenez;Enzo Fernández;Perisic;Declan Rice";"Saibari;Xhaka;Kovacic";"Van Dijk;Achraf"
